Step,Res_BundleA,Res_BundleB,Res_BundleC,SME,PUE
656,0.023492992,0,0,0,0
657,0.046927402,0,0,0,0
658,0.019081858,0,0,0,0
659,0.022150914,0,0,0,0
660,0.037662469,0,0,0,0
661,0.043421199,0,0,0,0
662,0.042832231,0,0,0,0
663,0.029849814,0,0,0,0
664,0.017913976,0,0,0,0
665,0.017164974,0,0,0,0
666,0.041752962,0,0,0,0
667,0.02318027,0,0,0,0
668,0.022117009,0,0,0,0
669,0.001543762,0,0,0,0
670,0.001829608,0,0,0,0
671,0.003789761,0,0,0,0
672,0.018142273,0,0,0,0
673,0.002224514,0,0,0,0
674,0.002477127,0,0,0,0
675,0.002614594,0,0,0,0
676,0.015739435,0,0,0,0
677,0.000612792,0,0,0,0
678,0.00060174,0,0,0,0
679,0.001241053,0,0,0,0
680,6.67E-05,0,0,0,0
681,0.041050245,0,0,0,0
682,0.00050847,0,0,0,0
683,0.000851248,0,0,0,0
684,2.20E-05,0,0,0,0
685,0.002860884,0,0,0,0
686,0.055544081,0,0,0,0
687,0.026057313,0,0,0,0
688,0.029278479,0,0,0,0
689,0.012446522,0,0,0,0
690,0.036252565,0,0,0,0
691,0.018446766,0,0,0,0
692,0.046241755,0,0,0,0
693,0.047892337,0,0,0,0
694,0.051958222,0,0,0,0
695,0.03756755,0,0,0,0
696,0.010903737,0,0,0,0
697,0.004471582,0,0,0,0
698,0.004635204,0,0,0,0
699,0.00481053,0,0,0,0
700,0.041252935,0,0,0,0
701,0.03094734,0,0,0,0
702,0.011150211,0,0,0,0
703,0.048310361,0,0,0,0
704,0.040198652,0,0,0,0
705,0.001606326,0,0,0,0
706,0.004496076,0,0,0,0
707,0.005876171,0,0,0,0
708,0.024775283,0,0,0,0
709,0.00417679,0,0,0,0
710,0.020898187,0,0,0,0
711,0.004874372,0,0,0,0
712,0.000118947,0,0,0,0
713,0.000336449,0,0,0,0
714,0.00040535,0,0,0,0
715,0.007157019,0,0,0,0
716,0.000425674,0,0,0,0
717,0.022335573,0,0,0,0
